RANK,COUNTRY / TERRITORY,PLAYER,CHANGE ,WIN-LOSE,PRIZE MONEY,POINTS / TMTS,HEIGHT,AGE AS AT 2020,NATIONAL TEAM SINCE,RACKET MANUFACTURER
1,TPE,TAI Tzu Ying,1 ,394 - 149,"$1,442,655.00 ","97,575 / 14",163,25,2009,Victor
2,CHN,CHEN Yu Fei,1 ,233 - 76,"$708,995.00 ","96,465 / 17",171,22,2013,Li Ning
3,JPN,Akane YAMAGUCHI,0,310 - 111,"$963,417.50 ","87,220 / 21",156,23,2012,Yonex
4,JPN,Nozomi OKUHARA,0,312 - 103,"$771,955.50 ","87,186 / 18",156,25,2010,Mizuno
5,THA,Ratchanok INTANON,0,396 - 176,"$897,692.50 ","78,485 / 20",169,25,2009,Yonex
6,ESP,Carolina MARIN,1 ,381 - 112,"$768,253.50 ","76,210 / 13",172,26,2007,Yonex
7,IND,PUSARLA V. Sindhu,1 ,328 - 140,"$683,780.50 ","74,474 / 19",179,24,2013,Li Ning
8,CHN,HE Bing Jiao,0,212 - 85,"$398,207.50 ","69,590 / 18",169,23,2013,Li Ning
9,KOR,AN Se Young,0,116 - 29,"$126,222.50 ","64,718 / 24",,18,,Yonex
10,CAN,Michelle LI,0,337 - 153,"$204,042.00 ","62,390 / 20",173,28,2009,Yonex
11,JPN,Sayaka TAKAHASHI,0,231 - 107,"$211,512.00 ","54,734 / 22",,27,,Yonex
12,THA,Busanan ONGBAMRUNGPHAN,1 ,233 - 162,"$186,257.50 ","53,154 / 24",168,24,2013,Yonex
,,,,,,,,,,
13,THA,Pornpawee CHOCHUWONG,4 ,181 - 106,"$95,520.50 ","53,076 / 22",170,22,2013,Yonex
14,KOR,SUNG Ji Hyun,2 ,380 - 203,"$716,202.50 ","53,050 / 21",175,28,2009,Victor
15,USA,Beiwen ZHANG,1 ,255 - 139,"$250,126.12 ","50,920 / 20",169,29,2004,Yonex
16,CHN,WANG Zhi Yi,0,114 - 23,"$49,560.00 ","50,640 / 16",,20,,Li Ning
17,KOR,KIM Ga Eun,2 ,114 - 59,"$61,712.50 ","49,933 / 23",172,22,2015,Victor
18,DEN,Mia BLICHFELDT,0,191 - 90,"$73,519.00 ","48,971 / 14",172,22,2013,Yonex
19,JPN,Aya OHORI,0,172 - 101,"$133,452.50 ","47,499 / 22",169,,2012,Yonex
20,IND,Saina NEHWAL,0,433 - 196,"$851,547.50 ","46,607 / 18",,30,,Yonex
21,INA,Gregoria Mariska TUNJUNG,2 ,148 - 79,"$73,243.75 ","45,200 / 21",,20,,Li Ning
22,THA,Nitchaon JINDAPOL,1 ,231 - 169,"$186,718.00 ","44,677 / 22",163,29,2009,Yonex
23,CHN,HAN Yue,1 ,78 - 48,"$73,520.00 ","44,406 / 20",168,20,2016,Li Ning
24,CHN,CAI Yan Yan,0,74 - 51,"$79,562.50 ","43,193 / 21",171,20,2015,Li Ning
25,RUS,Evgeniya KOSETSKAYA,0,171 - 130,"$45,950.50 ","40,105 / 24",,25,2010,Yonex
